icao24,callsign,country,timePosition,lastContact,longitude,latitude,baroAltitude,onGround,velocity,heading,verticalRate,_,geoAltitude,transponderCode,spi,positionSource
"4b1815","EDW58T  ","Switzerland",1682183916,1682183916,3.4247,39.7982,3131.82,false,145.51,195.17,-8.45,null,3246.12,"3053",false,0
"4b1816","EDW46Y  ","Switzerland",1682183916,1682183916,17.1352,44.5192,11269.98,false,250.12,129.16,0,null,11300.46,"3072",false,0
"4b1817","SWR7UF  ","Switzerland",1682183916,1682183916,6.6685,44.6817,9753.6,false,233.67,11.56,0,null,9898.38,"5513",false,0
"e8027c","LPE2450 ","Chile",1682183916,1682183916,-76.9023,-11.9036,3787.14,false,186.44,5.07,6.5,null,null,null,false,0
"ac96b8","AAL1358 ","United States",1682183916,1682183916,-84.0978,39.5802,8229.6,false,224.7,183.41,0,null,8077.2,"4154",false,0
"aa56db","UAL2000 ","United States",1682183625,1682183625,-118.388,33.9535,121.92,false,81.87,263.14,-3.58,null,83.82,"3615",false,0
"4b1812","EDW386X ","Switzerland",1682183916,1682183916,8.6854,45.9222,10668,false,226.52,175.57,0.33,null,10774.68,"3010",false,0
"ade18c","AAL2084 ","United States",1682183912,1682183912,-78.545,33.7473,10668,false,251.73,62.49,-0.33,null,10873.74,"3276",false,0
"4b1813","SWR1BA  ","Switzerland",1682183916,1682183916,12.2216,44.8286,11574.78,false,203.96,317.86,0,null,11658.6,"5520",false,0
"a77ec5","EJA582  ","United States",1682183915,1682183916,-93.9725,34.0739,11102.34,false,186.38,248.46,-7.48,null,11224.26,"2127",false,0
"a678e9","N516ND  ","United States",1682183916,1682183916,-80.9036,29.2988,937.26,false,54.79,114.4,-0.33,null,922.02,null,false,0
"ab6fdd","AAL2504 ","United States",1682183916,1682183916,-94.8423,32.5909,9951.72,false,275.35,95.25,6.83,null,10142.22,null,false,0
"a3b87f","DAL1041 ","United States",1682183916,1682183916,-83.9914,41.401,6835.14,false,202.41,199.45,4.23,null,6659.88,"7455",false,0
"a4b205","N401TD  ","United States",1682183806,1682183838,-74.0076,40.6998,15.24,false,0,0,-1.63,null,0,"1200",false,0
"ac3625","LXJ659  ","United States",1682183915,1682183916,-77.6842,35.8658,14325.6,false,230.11,218.1,0.33,null,14470.38,"7264",false,0
"880458","AIQ541  ","Thailand",1682183915,1682183916,104.3492,20.3718,11590.02,false,222.83,219.75,0,null,12298.68,null,false,0
"ad06b6","CXK567  ","United States",1682183916,1682183916,-81.5032,30.1211,1005.84,false,42.5,263.05,0.98,null,1021.08,null,false,0
"4b1806","SWR271X ","Switzerland",1682183912,1682183912,6.1032,46.2311,null,true,0,270,null,null,null,"1000",false,0
"a1c5ee","N213PB  ","United States",1682183916,1682183916,-106.9158,35.2733,3474.72,false,85.5,83.09,0.65,null,3535.68,null,false,0
"0d0c02","VIV5003 ","Mexico",1682183915,1682183915,-113.9791,31.5955,11574.78,false,213.04,291.24,0,null,11932.92,null,false,0
"a22267","N2369K  ","United States",1682183913,1682183915,-117.8907,33.6798,396.24,false,57.31,78.08,0.98,null,350.52,null,false,0
"4b1800","SWR12J  ","Switzerland",1682183916,1682183916,22.1464,37.9755,7315.2,false,224.74,127.84,-13.98,null,7391.4,"0464",false,0
"4b1801","SWR18MG ","Switzerland",1682183915,1682183916,5.5618,45.637,6248.4,false,206.11,30.28,-5.2,null,6355.08,"2074",false,0
"e48d37","AZU4083 ","Brazil",1682183781,1682183781,-47.4354,-23.9022,4419.6,false,113.16,189.42,1.95,null,4198.62,null,false,0
"a678ef","NKS1361 ","United States",1682183840,1682183845,-102.2286,36.4394,10972.8,false,188.94,272.18,0.33,null,11094.72,"7102",false,0
"4b1802","SWR112E ","Switzerland",1682183889,1682183914,8.562,47.4409,null,true,0,244.69,null,null,null,"1000",false,0
"a5820f","N454MD  ","United States",1682183733,1682183743,-99.2133,29.9545,1188.72,false,48.49,274.26,-0.33,null,1234.44,null,false,0
"ac4963","","United States",1682183854,1682183854,-116.4952,33.8158,190.5,false,83.75,322.99,-4.55,null,228.6,null,false,0
"a3b88e","AAL2258 ","United States",1682183914,1682183914,-115.1348,36.0808,null,true,0,241.88,null,null,null,null,false,0
"4952ca","TAP1364 ","Portugal",1682183916,1682183916,-1.4477,50.3114,8153.4,false,242.98,22.93,-10.08,null,8054.34,"5410",false,0
"00b22c","SAA572  ","South Africa",1682183916,1682183916,28.1747,-26.4015,2621.28,false,131.26,14.53,-3.25,null,2804.16,null,false,0
